"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Vegfc",FALSE,TRUE,1.61748862,"CollecTRI-only",1.61748862,FALSE
"Ddx3x",FALSE,TRUE,1.59394148,"CollecTRI-only",1.59394148,FALSE
"Mdk",FALSE,TRUE,1.57300576,"CollecTRI-only",1.57300576,FALSE
"Pik3r1",FALSE,TRUE,-1.54256204,"CollecTRI-only",1.54256204,FALSE
"Rpsa",FALSE,TRUE,1.54149802,"CollecTRI-only",1.54149802,FALSE
"Hk1",TRUE,FALSE,1.51259449,"DoRothEA-only",1.51259449,FALSE
"Mapk1",FALSE,TRUE,-1.49940928,"CollecTRI-only",1.49940928,FALSE
"Gper1",FALSE,TRUE,1.49191646,"CollecTRI-only",1.49191646,FALSE
"Gk",FALSE,TRUE,1.48639405,"CollecTRI-only",1.48639405,FALSE
"Ceacam2",TRUE,FALSE,-1.48377217,"DoRothEA-only",1.48377217,FALSE
"Ppp1r3c",TRUE,TRUE,1.44430572,"shared (both)",1.44430572,FALSE
"Bnip3",TRUE,TRUE,-1.42890799,"shared (both)",1.42890799,FALSE
"Ucp2",FALSE,TRUE,-1.41060074,"CollecTRI-only",1.41060074,FALSE
"Hipk2",FALSE,TRUE,1.39536033,"CollecTRI-only",1.39536033,FALSE
"Carm1",FALSE,TRUE,1.39080762,"CollecTRI-only",1.39080762,FALSE
"Hgf",FALSE,TRUE,-1.37042147,"CollecTRI-only",1.37042147,FALSE
"Edn1",TRUE,TRUE,-1.3700518,"shared (both)",1.3700518,FALSE
"Mapk14",FALSE,TRUE,-1.36667792,"CollecTRI-only",1.36667792,FALSE
"Cited2",TRUE,TRUE,-1.366373,"shared (both)",1.366373,FALSE
"Nt5e",TRUE,TRUE,-1.33918838,"shared (both)",1.33918838,FALSE
"Ngb",FALSE,TRUE,1.33644149,"CollecTRI-only",1.33644149,FALSE
"Kcnmb1",FALSE,TRUE,1.31901743,"CollecTRI-only",1.31901743,FALSE
"Nampt",TRUE,TRUE,-1.3020289,"shared (both)",1.3020289,FALSE
"Ilk",TRUE,FALSE,-1.27940912,"DoRothEA-only",1.27940912,FALSE
"Jun",FALSE,TRUE,-1.26834548,"CollecTRI-only",1.26834548,FALSE
"Slc29a2",FALSE,TRUE,-1.2617336,"CollecTRI-only",1.2617336,FALSE
"Ghr",FALSE,TRUE,1.2579719,"CollecTRI-only",1.2579719,FALSE
"Prkg1",FALSE,TRUE,1.22959468,"CollecTRI-only",1.22959468,FALSE
"Slc11a1",TRUE,TRUE,1.22657115,"shared (both)",1.22657115,FALSE
"Cd164",FALSE,TRUE,1.21525236,"CollecTRI-only",1.21525236,FALSE
"Ercc2",FALSE,TRUE,1.17146472,"CollecTRI-only",1.17146472,FALSE
"Nbn",FALSE,TRUE,-1.16171444,"CollecTRI-only",1.16171444,FALSE
"Kitl",TRUE,TRUE,-1.15838799,"shared (both)",1.15838799,FALSE
"Trf",TRUE,TRUE,-1.15238568,"shared (both)",1.15238568,FALSE
"Mt1",FALSE,TRUE,1.14722965,"CollecTRI-only",1.14722965,FALSE
"Rac1",FALSE,TRUE,-1.14533642,"CollecTRI-only",1.14533642,FALSE
"Hdc",FALSE,TRUE,-1.13383094,"CollecTRI-only",1.13383094,FALSE
"Lifr",FALSE,TRUE,1.09980709,"CollecTRI-only",1.09980709,FALSE
"Ccna2",FALSE,TRUE,-1.09564584,"CollecTRI-only",1.09564584,FALSE
"Vhl",FALSE,TRUE,1.09279445,"CollecTRI-only",1.09279445,FALSE
"Bhlhe41",TRUE,TRUE,-1.08652805,"shared (both)",1.08652805,FALSE
"Ccr7",FALSE,TRUE,1.07843889,"CollecTRI-only",1.07843889,FALSE
"Rapgef3",FALSE,TRUE,-1.06852458,"CollecTRI-only",1.06852458,FALSE
"Hmox2",FALSE,TRUE,-1.06794044,"CollecTRI-only",1.06794044,FALSE
"Car9",TRUE,TRUE,-1.06121839,"shared (both)",1.06121839,FALSE
"Tnfsf13b",FALSE,TRUE,-1.02892486,"CollecTRI-only",1.02892486,FALSE
"Pfkfb1",FALSE,TRUE,-1.02762098,"CollecTRI-only",1.02762098,FALSE
"Kdm4c",FALSE,TRUE,0.997243157,"CollecTRI-only",0.997243157,FALSE
"Mrc1",FALSE,TRUE,0.993199272,"CollecTRI-only",0.993199272,FALSE
"Kdr",FALSE,TRUE,-0.9802187,"CollecTRI-only",0.9802187,FALSE
"Hs2st1",FALSE,TRUE,-0.956234097,"CollecTRI-only",0.956234097,FALSE
"Akt1",FALSE,TRUE,0.904740591,"CollecTRI-only",0.904740591,FALSE
"Rbms1",FALSE,TRUE,-0.902554082,"CollecTRI-only",0.902554082,FALSE
