matrix_symbol,current_symbol,entrez_id,resolution,mapped_after_normalisation,normalisation_source,org_mm_eg_db_version
4732487G21Rik,Gpatch2l,70373,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
4930516B21Rik,Acvr2b,11481,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
C330011M18Rik,Gm10643,100038416,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Gm10226,Gm10509,100310809,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Gm12940,Sfpq,71514,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Gm15832,Rnf149,67702,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Gm29675,Exoc2,66482,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Gm43951,4933427D14Rik,74477,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Gm46378,Vrk1,22367,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Rtl10,Gnb1l,13972,rejected_current_symbol_already_in_vocabulary,FALSE,org.Mm.eg.db,3.22.0
Gm12503,Ptma-ps2,115489981,rejected_multiple_query_symbols_for_current_symbol,FALSE,org.Mm.eg.db,3.22.0
Gm12504,Ptma-ps2,115489981,rejected_multiple_query_symbols_for_current_symbol,FALSE,org.Mm.eg.db,3.22.0
2900097C17Rik,Bscl2,14705,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
2900097C17Rik,Norad,347740,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
3110001I22Rik,Pphln1-ps1,66598,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
3110001I22Rik,Bfar,67118,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c8,69386,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c14,97122,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c3,319155,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c4,319156,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c6,319157,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c9,319158,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c11,319159,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c12,319160,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c18,319161,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c16,320332,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c1,326619,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c2,326620,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
H4f16,H4c17,100041230,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
Taz,Tafazzin,66826,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
Taz,Wwtr1,97064,rejected_query_symbol_ambiguous_in_org_db,FALSE,org.Mm.eg.db,3.22.0
