"arm","ontology","iea_variant","ID","cluster_id","Description","p.adjust","Count","cluster_size","cluster_representative","cluster_min_padj"
"WT_heat_up","BP","with_iea","GO:0001649",18,"osteoblast differentiation",0.010889972478454,10,31,"positive regulation of cell development",0.00116665492851909
"WT_heat_up","BP","with_iea","GO:0043542",2,"endothelial cell migration",0.010889972478454,10,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0010575",3,"positive regulation of vascular endothelial growth factor production",0.0109721492035564,4,12,"positive regulation of cytokine production",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0072678",2,"T cell migration",0.0110774570441953,6,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0072676",2,"lymphocyte migration",0.0111682455852857,7,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0001704",1,"formation of primary germ layer",0.0117678460603255,7,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:1903035",7,"negative regulation of response to wounding",0.0117678460603255,6,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0001666",26,"response to hypoxia",0.0117678460603255,12,3,"response to hypoxia",0.0117678460603255
"WT_heat_up","BP","with_iea","GO:0014706",1,"striated muscle tissue development",0.0121689410951606,13,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:1901741",27,"positive regulation of myoblast fusion",0.0121689410951606,3,7,"positive regulation of myoblast fusion",0.0121689410951606
"WT_heat_up","BP","with_iea","GO:0006953",22,"acute-phase response",0.0122735707523188,4,5,"acute inflammatory response",0.00375328653765685
"WT_heat_up","BP","with_iea","GO:0048667",20,"cell morphogenesis involved in neuron differentiation",0.0122735707523188,17,8,"axonogenesis",0.00282363647065884
"WT_heat_up","BP","with_iea","GO:0019724",13,"B cell mediated immunity",0.0123163675427843,8,8,"humoral immune response",0.000445570403798779
"WT_heat_up","BP","with_iea","GO:0001501",1,"skeletal system development",0.0123163675427843,15,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0044703",28,"multi-organism reproductive process",0.0123357525600539,9,2,"multi-organism reproductive process",0.0123357525600539
"WT_heat_up","BP","with_iea","GO:0043616",12,"keratinocyte proliferation",0.0123747925028634,5,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0048146",12,"positive regulation of fibroblast proliferation",0.0123747925028634,5,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0090303",7,"positive regulation of wound healing",0.0123747925028634,5,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0007188",6,"adenylate cyclase-modulating G protein-coupled receptor signaling pathway",0.0126486363852868,9,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0071396",25,"cellular response to lipid",0.012761259462722,18,6,"response to steroid hormone",0.00745193618297709
"WT_heat_up","BP","with_iea","GO:0044060",17,"regulation of endocrine process",0.0135182330246448,4,10,"regulation of system process",0.00114603895048557
"WT_heat_up","BP","with_iea","GO:0050920",4,"regulation of chemotaxis",0.0136782489667007,9,4,"chemotaxis",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0007596",7,"blood coagulation",0.0141683698768965,10,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0050817",8,"coagulation",0.0145295421621752,10,12,"tissue remodeling",4.43350331575523e-05
"WT_heat_up","BP","with_iea","GO:0032604",3,"granulocyte macrophage colony-stimulating factor production",0.0145295421621752,3,12,"positive regulation of cytokine production",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0032645",3,"regulation of granulocyte macrophage colony-stimulating factor production",0.0145295421621752,3,12,"positive regulation of cytokine production",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0045780",17,"positive regulation of bone resorption",0.0145295421621752,3,10,"regulation of system process",0.00114603895048557
"WT_heat_up","BP","with_iea","GO:0007411",20,"axon guidance",0.0145295421621752,9,8,"axonogenesis",0.00282363647065884
"WT_heat_up","BP","with_iea","GO:0010574",3,"regulation of vascular endothelial growth factor production",0.0149719655520348,4,12,"positive regulation of cytokine production",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0042692",18,"muscle cell differentiation",0.0149719655520348,13,31,"positive regulation of cell development",0.00116665492851909
