"rank","ID","Description","term_size","k_obs","p_adjust_hypergeometric","p_matched","frac_matched_reaching_q","k_null_matched_mean","simplify_kept"
97,"GO:0061041","regulation of wound healing",92,8,0.00350547269,0.0174912544,0.0988612836,3.402,FALSE
98,"GO:0001892","embryonic placenta development",69,7,0.00354778617,0.007996002,0.0416216216,2.419,FALSE
99,"GO:0002526","acute inflammatory response",69,7,0.00354778617,0.0059970015,0.0375,2.3985,TRUE
100,"GO:0008544","epidermis development",239,13,0.00364990261,0.0289855072,0.116174261,7.4155,FALSE
101,"GO:0120039","plasma membrane bounded cell projection morphogenesis",495,20,0.00367452044,0.0904547726,0.2695,14.502,FALSE
102,"GO:1903530","regulation of secretion by cell",418,18,0.00368941483,0.179910045,0.453,14.3965,FALSE
103,"GO:0048247","lymphocyte chemotaxis",31,5,0.0037296461,0.0019990005,0.0244835501,1.011,FALSE
104,"GO:0002573","myeloid leukocyte differentiation",209,12,0.0038965825,0.0769615192,0.2425,7.7455,FALSE
105,"GO:0008015","blood circulation",347,16,0.00399579455,0.0989505247,0.29,11.44,FALSE
106,"GO:0030193","regulation of blood coagulation",50,6,0.00408844545,0.00249875062,0.0208845209,1.61,TRUE
107,"GO:0050671","positive regulation of lymphocyte proliferation",122,9,0.00421858228,0.0704647676,0.225514817,5.252,FALSE
108,"GO:0030098","lymphocyte differentiation",389,17,0.00455595473,0.28135932,0.5545,14.635,FALSE
109,"GO:0150076","neuroinflammatory response",73,7,0.00461449375,0.0214892554,0.0817708333,3.02,FALSE
110,"GO:0001503","ossification",317,15,0.00464302066,0.0699650175,0.202,10.0445,TRUE
111,"GO:0002548","monocyte chemotaxis",33,5,0.00464302066,0.0129935032,0.0502754821,1.269,FALSE
112,"GO:0032946","positive regulation of mononuclear cell proliferation",124,9,0.00464302066,0.0769615192,0.221385542,5.3415,FALSE
113,"GO:0120255","olefinic compound biosynthetic process",18,4,0.00464302066,0.00149925037,0.0211706102,0.502,TRUE
114,"GO:0120254","olefinic compound metabolic process",98,8,0.00465249244,0.000499750125,0.00229357798,1.985,FALSE
115,"GO:1900046","regulation of hemostasis",52,6,0.00470331302,0.00299850075,0.0248786408,1.669,FALSE
116,"GO:0019730","antimicrobial humoral response",74,7,0.00472588473,0.00099950025,0.00720720721,1.694,FALSE
