"source","target","t_wt","contrib","module","isoform_attribution","direction"
"Hif1a","Birc5",-2.62046970401772,-2.62046970401772,"other_unclassified","unclassified","Down"
"Hif1a","Capg",-2.64953941654869,-2.64953941654869,"other_unclassified","unclassified","Down"
"Hif1a","Pik3c3",-2.74299128780707,-2.74299128780707,"other_unclassified","unclassified","Down"
"Hif1a","Plat",-2.74518805801711,-2.74518805801711,"other_unclassified","unclassified","Down"
"Hif1a","Slc9a1",-2.80518924981921,-2.80518924981921,"other_unclassified","unclassified","Down"
"Hif1a","Slc11a2",-2.88125348122128,-2.88125348122128,"other_unclassified","unclassified","Down"
"Hif1a","Cad",-2.89392205327488,-2.89392205327488,"other_unclassified","unclassified","Down"
"Hif1a","Atp7a",-2.9673959754957,-2.9673959754957,"other_unclassified","unclassified","Down"
"Hif1a","Xiap",-2.99405048491073,-2.99405048491073,"other_unclassified","unclassified","Down"
"Hif1a","Wdr83",-3.04668367451649,-3.04668367451649,"other_unclassified","unclassified","Down"
"Hif1a","Xpa",-3.0538423881592,-3.0538423881592,"other_unclassified","unclassified","Down"
"Hif1a","Ctsd",-3.06312414533807,-3.06312414533807,"other_unclassified","unclassified","Down"
"Hif1a","Mcl1",-3.16876157769455,-3.16876157769455,"other_unclassified","unclassified","Down"
"Hif1a","Zfp667",-3.21501172143032,-3.21501172143032,"other_unclassified","unclassified","Down"
"Hif1a","Nr3c1",-3.2575916579471,-3.2575916579471,"other_unclassified","unclassified","Down"
"Hif1a","Bax",-3.30682540503532,-3.30682540503532,"other_unclassified","unclassified","Down"
"Hif1a","Aph1a",-3.36790332903159,-3.36790332903159,"other_unclassified","unclassified","Down"
"Hif1a","Cdc25a",3.38632226586329,-3.38632226586329,"other_unclassified","unclassified","Down"
"Hif1a","Zfp217",-3.44304391613318,-3.44304391613318,"other_unclassified","unclassified","Down"
"Hif1a","Park7",-3.48561581322229,-3.48561581322229,"other_unclassified","unclassified","Down"
"Hif1a","Sema4d",-3.53913228670978,-3.53913228670978,"other_unclassified","unclassified","Down"
"Hif1a","Matk",-3.61972902157623,-3.61972902157623,"other_unclassified","unclassified","Down"
"Hif1a","Npm1",-3.66731575549222,-3.66731575549222,"other_unclassified","unclassified","Down"
"Hif1a","Egf",-3.69944647181259,-3.69944647181259,"other_unclassified","unclassified","Down"
