"source","target","mor","t_wt","contrib","class"
"Hif1a","Aph1a",1,-3.36790332903159,-3.36790332903159,"other"
"Hif1a","Cdc25a",-1,3.38632226586329,-3.38632226586329,"other"
"Hif1a","Zfp217",1,-3.44304391613318,-3.44304391613318,"other"
"Hif1a","Park7",1,-3.48561581322229,-3.48561581322229,"other"
"Hif1a","Sema4d",1,-3.53913228670978,-3.53913228670978,"other"
"Hif1a","Matk",1,-3.61972902157623,-3.61972902157623,"other"
"Hif1a","Npm1",1,-3.66731575549222,-3.66731575549222,"other"
"Hif1a","Egf",1,-3.69944647181259,-3.69944647181259,"other"
"Hif1a","Tlr6",1,-3.75723610464876,-3.75723610464876,"other"
"Hif1a","Bace1",1,-3.78601992404384,-3.78601992404384,"other"
"Hif1a","Kdm7a",1,-3.80091917219676,-3.80091917219676,"other"
"Hif1a","Lct",1,-3.82077833537038,-3.82077833537038,"other"
"Hif1a","Pfkfb2",1,-3.98048111927452,-3.98048111927452,"other"
"Hif1a","Sh3bp2",1,-4.14128231193665,-4.14128231193665,"other"
"Hif1a","Ebp",1,-4.30597753251118,-4.30597753251118,"other"
"Hif1a","Itgam",1,-4.31401444516013,-4.31401444516013,"other"
"Hif1a","Lgals1",-1,4.35720343415945,-4.35720343415945,"other"
"Hif1a","Kdm2a",1,-4.36238633274805,-4.36238633274805,"other"
"Hif1a","Mmp15",1,-4.47409363235062,-4.47409363235062,"other"
"Hif1a","Naa10",1,-4.5727189235745,-4.5727189235745,"other"
"Hif1a","Ikbkb",1,-4.62578887899526,-4.62578887899526,"other"
"Hif1a","Pten",1,-4.63382781522554,-4.63382781522554,"other"
"Hif1a","App",1,-4.86068325182062,-4.86068325182062,"other"
"Hif1a","Fech",1,-4.92295236945806,-4.92295236945806,"other"
"Hif1a","Qsox1",1,-4.93820108679233,-4.93820108679233,"other"
"Hif1a","Cox4i1",1,-4.93986929907876,-4.93986929907876,"other"
"Hif1a","Tm9sf4",-1,4.95909349631266,-4.95909349631266,"other"
"Hif1a","Mad1l1",1,-5.06650413548456,-5.06650413548456,"other"
"Hif1a","Kdm5a",1,-5.12400834196078,-5.12400834196078,"other"
"Hif1a","Fasn",1,-5.24567747968479,-5.24567747968479,"other"
"Hif1a","Trp53",1,-5.30949685529192,-5.30949685529192,"other"
"Hif1a","Dnase1",1,-5.35269763596927,-5.35269763596927,"other"
"Hif1a","Prmt1",1,-5.42759803619619,-5.42759803619619,"other"
"Hif1a","Sp1",-1,5.47154245417112,-5.47154245417112,"other"
"Hif1a","Apln",1,-5.59297403839713,-5.59297403839713,"other"
"Hif1a","Abl1",1,-5.66066284055482,-5.66066284055482,"other"
"Hif1a","Cxcr4",1,-5.75780146102391,-5.75780146102391,"other"
"Hif1a","Cybb",1,-6.00850930572522,-6.00850930572522,"other"
"Hif1a","Xpc",1,-6.11794462121182,-6.11794462121182,"other"
"Hif1a","Ass1",1,-6.15310839134756,-6.15310839134756,"other"
"Hif1a","Kdm4b",1,-6.22222729329121,-6.22222729329121,"other"
"Hif1a","Timp2",1,-6.37389555952042,-6.37389555952042,"other"
"Hif1a","Nrp2",-1,6.41956917135209,-6.41956917135209,"other"
"Hif1a","Atp13a2",1,-6.68900005749438,-6.68900005749438,"other"
"Hif1a","Angptl4",1,-6.76846141860404,-6.76846141860404,"other"
"Hif1a","Mlh1",1,-6.97795646717192,-6.97795646717192,"other"
"Hif1a","Mmut",1,-7.08371318125004,-7.08371318125004,"other"
"Hif1a","Sat1",1,-7.4410047732044,-7.4410047732044,"other"
"Hif1a","Hif1a",-1,7.48596013728489,-7.48596013728489,"other"
"Hif1a","Nfe2l2",1,-7.53589203152885,-7.53589203152885,"other"
"Hif1a","Foxp3",1,-7.60676754875636,-7.60676754875636,"other"
"Hif1a","Gata1",1,-7.67014517606629,-7.67014517606629,"other"
"Hif1a","Tcirg1",1,-7.81673643591789,-7.81673643591789,"other"
"Hif1a","Msh6",-1,8.2798084029273,-8.2798084029273,"other"
"Hif1a","Btg2",1,-8.45541237118691,-8.45541237118691,"other"
"Hif1a","Itgb3",1,-8.45825155642991,-8.45825155642991,"other"
"Hif1a","Cx3cr1",1,-8.80400382947784,-8.80400382947784,"other"
"Hif1a","Cdkn1b",1,-9.02931743776933,-9.02931743776933,"other"
"Hif1a","Slc29a1",-1,10.1803237635447,-10.1803237635447,"other"
"Hif1a","Mapk9",1,-10.9569604822314,-10.9569604822314,"other"
"Hif1a","Lpin1",1,-11.206444522066,-11.206444522066,"other"
"Hif1a","Pecam1",1,-12.3299572135026,-12.3299572135026,"other"
"Hif1a","Abcc8",1,-12.8288852140129,-12.8288852140129,"other"
"Hif1a","Slc22a5",1,-13.0061095285552,-13.0061095285552,"other"
"Hif1a","Stat3",1,-13.4790869880396,-13.4790869880396,"other"
"Hif1a","Abca1",1,-18.9943599269988,-18.9943599269988,"other"
"Hif1a","Hk2",1,9.71988286026395,9.71988286026395,"shared/glycolytic"
"Hif1a","Vegfa",1,9.39257455459016,9.39257455459016,"shared/glycolytic"
"Hif1a","Egln3",1,6.8074920041606,6.8074920041606,"shared/glycolytic"
"Hif1a","Slc2a1",1,6.53352095750106,6.53352095750106,"shared/glycolytic"
"Hif1a","Aldoa",1,4.53935844328088,4.53935844328088,"shared/glycolytic"
"Hif1a","Pgk1",1,2.59241547851486,2.59241547851486,"shared/glycolytic"
"Hif1a","Ldha",1,0.429648895550747,0.429648895550747,"shared/glycolytic"
"Hif1a","Eno1",1,0.0215029644520647,0.0215029644520647,"shared/glycolytic"
"Hif1a","Pkm",1,-0.229195092892813,-0.229195092892813,"shared/glycolytic"
