signature,gene_symbol,group,temperature,genotype,n_samples,mean_logcpm,sd_logcpm,se_logcpm,z_across_groups
WT_heat_up,Irf6,WT_37,37,WT,5,2.40050847,0.25094562,0.112226293,-0.735734184
WT_heat_up,Irf6,WT_39,39,WT,5,3.63534591,0.120142072,0.0537291679,0.86102873
WT_heat_up,Irf6,cGASKO_37,37,cGASKO,5,2.20606552,0.13725744,0.0613833931,-0.98716752
WT_heat_up,Irf6,cGASKO_39,39,cGASKO,5,3.63599879,0.0455404057,0.0203662886,0.861872975
WT_heat_up,Hspa1b,WT_37,37,WT,5,1.39666094,0.286100954,0.127948236,-0.814300406
WT_heat_up,Hspa1b,WT_39,39,WT,5,3.26709739,0.203355171,0.0909431972,0.960834534
WT_heat_up,Hspa1b,cGASKO_37,37,cGASKO,5,1.29496394,0.27007253,0.120780107,-0.910815786
WT_heat_up,Hspa1b,cGASKO_39,39,cGASKO,5,3.0599922,0.217044552,0.0970652744,0.764281657
WT_heat_up,Zbtb32,WT_37,37,WT,5,5.2985843,0.328014352,0.146692478,-0.794310253
WT_heat_up,Zbtb32,WT_39,39,WT,5,6.81108721,0.0621456781,0.0277923921,0.876300178
WT_heat_up,Zbtb32,cGASKO_37,37,cGASKO,5,5.17138219,0.0935540968,0.041838664,-0.934809273
WT_heat_up,Zbtb32,cGASKO_39,39,cGASKO,5,6.78982862,0.0958135142,0.0428491062,0.852819348
WT_heat_up,Asb2,WT_37,37,WT,5,2.01843193,0.211061992,0.0943897925,-0.896265356
WT_heat_up,Asb2,WT_39,39,WT,5,3.31103108,0.0473203386,0.0211622988,0.864554819
WT_heat_up,Asb2,cGASKO_37,37,cGASKO,5,2.06322475,0.204573755,0.0914881644,-0.835247134
WT_heat_up,Asb2,cGASKO_39,39,cGASKO,5,3.31279499,0.151284713,0.0676565807,0.866957671
WT_heat_up,Olr1,WT_37,37,WT,5,2.20524264,0.100685241,0.0450278088,-0.786117753
WT_heat_up,Olr1,WT_39,39,WT,5,3.52516814,0.155739686,0.0696489049,0.906808439
WT_heat_up,Olr1,cGASKO_37,37,cGASKO,5,2.08419136,0.291344165,0.130293071,-0.941377184
WT_heat_up,Olr1,cGASKO_39,39,cGASKO,5,3.45802136,0.0633335759,0.0283236362,0.820686499
WT_heat_up,Igkc,WT_37,37,WT,5,0.577097047,0.162857636,0.0728321491,-0.96385324000000006
WT_heat_up,Igkc,WT_39,39,WT,5,2.13529022,0.116757409,0.0522155009,0.935737732
WT_heat_up,Igkc,cGASKO_37,37,cGASKO,5,0.745200026,0.270251136,0.120859982,-0.75891915
WT_heat_up,Igkc,cGASKO_39,39,cGASKO,5,2.01331232,0.175082648,0.0782993404,0.787034658
WT_heat_up,Fasl,WT_37,37,WT,5,3.44439717,0.243797566,0.109029586,-0.811273615
WT_heat_up,Fasl,WT_39,39,WT,5,4.53663765,0.105388962,0.0471313766,0.949299047
WT_heat_up,Fasl,cGASKO_37,37,cGASKO,5,3.38009191,0.0492920775,0.0220440872,-0.914926698
WT_heat_up,Fasl,cGASKO_39,39,cGASKO,5,4.42968391,0.125237124,0.0560077447,0.776901267
WT_heat_up,Actbl2,WT_37,37,WT,5,-0.0887384455,0.209893815,0.0938673676,-0.842448819
WT_heat_up,Actbl2,WT_39,39,WT,5,1.38648036,0.110311313,0.049332719,0.910686075
WT_heat_up,Actbl2,cGASKO_37,37,cGASKO,5,-0.127161221,0.10874533,0.0486323902,-0.888110051
WT_heat_up,Actbl2,cGASKO_39,39,cGASKO,5,1.31006328,0.166753893,0.0745746079,0.819872794
WT_heat_up,Adora2b,WT_37,37,WT,5,2.74742134,0.197822648,0.0884689776,-0.88162078
WT_heat_up,Adora2b,WT_39,39,WT,5,4.2956821100000004,0.204240122,0.0913389593,0.88657737700000006
WT_heat_up,Adora2b,cGASKO_37,37,cGASKO,5,2.77507616,0.285179421,0.127536114,-0.850037462
WT_heat_up,Adora2b,cGASKO_39,39,cGASKO,5,4.25934714,0.0567014149,0.0253576436,0.845080865
WT_heat_up,Gfpt2,WT_37,37,WT,5,2.9298098,0.258935355,0.115799411,-0.892926059
WT_heat_up,Gfpt2,WT_39,39,WT,5,4.54973475,0.236604419,0.105812713,0.849599939
WT_heat_up,Gfpt2,cGASKO_37,37,cGASKO,5,2.98036238,0.171062262,0.0765013693,-0.838547501
WT_heat_up,Gfpt2,cGASKO_39,39,cGASKO,5,4.57973772,0.141488991,0.0632758004,0.881873622
WT_heat_up,Cystm1,WT_37,37,WT,5,2.44022645,0.149386922,0.0668078624,-0.794122403
WT_heat_up,Cystm1,WT_39,39,WT,5,3.4759766,0.125341451,0.0560544009,0.850389259
WT_heat_up,Cystm1,cGASKO_37,37,cGASKO,5,2.35153145,0.108163302,0.048372099,-0.934947835
WT_heat_up,Cystm1,cGASKO_39,39,cGASKO,5,3.49379535,0.102038957,0.0456332089,0.878680979
